Year,District,ANNUAL RAINFALL (Millimeters)
1966,Durg,769.8
1967,Durg,1263.5
1968,Durg,1172.3
1969,Durg,929
1970,Durg,1484.3
1971,Durg,1387.3
1972,Durg,1046.9
1973,Durg,1483
1974,Durg,584.9
1975,Durg,1262.5
1976,Durg,938
1977,Durg,1042.6
1978,Durg,1129.1
1979,Durg,859.9
1980,Durg,1357.3
1981,Durg,947.6
1982,Durg,841.6
1983,Durg,1073.2
1984,Durg,1102.2
1985,Durg,994.8
1986,Durg,1112.7
1987,Durg,742.6
1988,Durg,650.1
1989,Durg,-1
1990,Durg,1309.7
1991,Durg,764.9
1992,Durg,923.2
1993,Durg,887.7
1994,Durg,1462.9
1995,Durg,1350.6
1996,Durg,1289.7
1997,Durg,1586.7
1998,Durg,1313.5
1999,Durg,1766
2002,Durg,-1
2004,Durg,997.9
2005,Durg,1103.9
2006,Durg,886.4
2007,Durg,1068.5
2008,Durg,904.8
2009,Durg,695.7
2010,Durg,1149.7
2011,Durg,1282.3
2012,Durg,1092.1
2013,Durg,1568
2014,Durg,1379.7
2015,Durg,1008.7
1966,Bastar,1210
1967,Bastar,1478.1
1968,Bastar,1330.5
1969,Bastar,1538.1
1970,Bastar,1659.9
1971,Bastar,1299.9
1972,Bastar,1303.5
1973,Bastar,1287.8
1974,Bastar,933.1
1975,Bastar,1829.2
1976,Bastar,1490.2
1977,Bastar,1778.4
1978,Bastar,1768.1
1979,Bastar,1280.4
1980,Bastar,1656.7
1981,Bastar,1417.6
1982,Bastar,1479.2
1983,Bastar,1538.9
1984,Bastar,1018.6
1985,Bastar,1389.7
1986,Bastar,1711.6
1987,Bastar,1448.5
1988,Bastar,1419.9
1989,Bastar,1852.9
1990,Bastar,1824.3
1991,Bastar,1204.8
1992,Bastar,1378.4
1993,Bastar,1157.1
1994,Bastar,1739.2
1995,Bastar,1472.8
1996,Bastar,1181.5
1997,Bastar,1235.6
1998,Bastar,990.1
1999,Bastar,1429.7
2002,Bastar,-1
2004,Bastar,1644.2
2005,Bastar,1419.1
2006,Bastar,1709.8
2007,Bastar,1259.2
2008,Bastar,1398.3
2009,Bastar,1030.9
2010,Bastar,1623.2
2011,Bastar,1160.5
2012,Bastar,1542.6
2013,Bastar,1434.5
2014,Bastar,1476.6
2015,Bastar,1538.5
1966,Raipur,941.5
1967,Raipur,1409.5
1968,Raipur,1077.4
1969,Raipur,937.1
1970,Raipur,1707.2
1971,Raipur,1344.9
1972,Raipur,1073.3
1973,Raipur,1420.5
1974,Raipur,769.7
1975,Raipur,1187.6
1976,Raipur,1119.9
1977,Raipur,1167.6
1978,Raipur,1055.7
1979,Raipur,753
1980,Raipur,1437.5
1981,Raipur,1139.5
1982,Raipur,966.2
1983,Raipur,1045.8
1984,Raipur,1128.5
1985,Raipur,1110.3
1986,Raipur,1226.1
1987,Raipur,900.4
1988,Raipur,765.8
1989,Raipur,1118
1990,Raipur,1541.3
1991,Raipur,1007.2
1992,Raipur,1056.4
1993,Raipur,1106.6
1994,Raipur,1764.2
1995,Raipur,1047.9
1996,Raipur,966.7
1997,Raipur,1161.9
1998,Raipur,829.1
1999,Raipur,967.5
2002,Raipur,-1
2004,Raipur,939.2
2005,Raipur,1348
2006,Raipur,1206.7
2007,Raipur,1434.2
2008,Raipur,1114.5
2009,Raipur,937.5
2010,Raipur,1109.1
2011,Raipur,1322.9
2012,Raipur,1233
2013,Raipur,1443.6
2014,Raipur,1233.2
2015,Raipur,921.4
1966,Bilaspur,1002.5
1967,Bilaspur,1503.5
1968,Bilaspur,1250.7
1969,Bilaspur,1038.3
1970,Bilaspur,1305.2
1971,Bilaspur,1567.6
1972,Bilaspur,1131.2
1973,Bilaspur,1352.6
1974,Bilaspur,1027.9
1975,Bilaspur,1510
1976,Bilaspur,1101.8
1977,Bilaspur,1300
1978,Bilaspur,1294.9
1979,Bilaspur,795.9
1980,Bilaspur,1400.3
1981,Bilaspur,1104.2
1982,Bilaspur,1031.5
1983,Bilaspur,1254.1
1984,Bilaspur,1275
1985,Bilaspur,1136.4
1986,Bilaspur,1279.8
1987,Bilaspur,1087.8
1988,Bilaspur,1283.3
1989,Bilaspur,912.6
1990,Bilaspur,1317.1
1991,Bilaspur,940.1
1992,Bilaspur,973.6
1993,Bilaspur,1033.2
1994,Bilaspur,1668.2
1995,Bilaspur,1087.3
1996,Bilaspur,1249.8
1997,Bilaspur,1326.8
1998,Bilaspur,1324.1
1999,Bilaspur,1109.7
2002,Bilaspur,-1
2004,Bilaspur,1272.3
2005,Bilaspur,1475.7
2006,Bilaspur,1091.7
2007,Bilaspur,1269.4
2008,Bilaspur,1047
2009,Bilaspur,791.4
2010,Bilaspur,973.9
2011,Bilaspur,1290.1
2012,Bilaspur,1350.1
2013,Bilaspur,1449.5
2014,Bilaspur,1348.2
2015,Bilaspur,1056.8
1966,Raigarh,1128.4
1967,Raigarh,1524.3
1968,Raigarh,1232.4
1969,Raigarh,1239
1970,Raigarh,1634.6
1971,Raigarh,1814.8
1972,Raigarh,1189.9
1973,Raigarh,1918.2
1974,Raigarh,1130.8
1975,Raigarh,1518.3
1976,Raigarh,1052.9
1977,Raigarh,1564.3
1978,Raigarh,1367.8
1979,Raigarh,762.1
1980,Raigarh,1317
1981,Raigarh,1226.3
1982,Raigarh,1285.6
1983,Raigarh,1557
1984,Raigarh,1366.6
1985,Raigarh,1421.9
1986,Raigarh,1372.2
1987,Raigarh,1126.1
1988,Raigarh,1335.1
1989,Raigarh,1133
1990,Raigarh,1500.6
1991,Raigarh,1243.8
1992,Raigarh,1018.9
1993,Raigarh,1168.2
1994,Raigarh,1763.9
1995,Raigarh,976.2
1996,Raigarh,751.9
1997,Raigarh,1387.8
1998,Raigarh,1191.9
1999,Raigarh,1035.8
2002,Raigarh,-1
2004,Raigarh,1049.8
2005,Raigarh,1246.8
2006,Raigarh,1089.1
2007,Raigarh,1291.8
2008,Raigarh,1513.9
2009,Raigarh,978.2
2010,Raigarh,988.3
2011,Raigarh,1288.5
2012,Raigarh,1237.3
2013,Raigarh,1221.3
2014,Raigarh,1227.8
2015,Raigarh,1192.1
1966,Surguja,907.3
1967,Surguja,1287.2
1968,Surguja,1210.1
1969,Surguja,1158.3
1970,Surguja,-1
1971,Surguja,1970.4
1972,Surguja,1374.2
1973,Surguja,1435
1974,Surguja,986
1975,Surguja,1562.9
1976,Surguja,1052.5
1977,Surguja,1511.6
1978,Surguja,1282.2
1979,Surguja,691.4
1980,Surguja,1687.6
1981,Surguja,1020.1
1982,Surguja,1129.6
1983,Surguja,1120.5
1984,Surguja,1417.7
1985,Surguja,1328.7
1986,Surguja,1338.9
1987,Surguja,1426
1988,Surguja,1130.3
1989,Surguja,1157.9
1990,Surguja,1423.7
1991,Surguja,1414.7
1992,Surguja,1040.7
1993,Surguja,1184.7
1994,Surguja,1896.6
1995,Surguja,1301.6
1996,Surguja,1205.9
1997,Surguja,1376.4
1998,Surguja,1483.3
1999,Surguja,1503.4
2002,Surguja,-1
2004,Surguja,971.6
2005,Surguja,1120.1
2006,Surguja,1186.3
2007,Surguja,1153.4
2008,Surguja,1119.6
2009,Surguja,564.1
2010,Surguja,596.7
2011,Surguja,1383.6
2012,Surguja,1122.5
2013,Surguja,809
2014,Surguja,840
2015,Surguja,989.8
1966,Jabalpur,868.3
1967,Jabalpur,1475
1968,Jabalpur,943.3
1969,Jabalpur,1213.4
1970,Jabalpur,1456.5
1971,Jabalpur,2038.3
1972,Jabalpur,1109.5
1973,Jabalpur,1461.1
1974,Jabalpur,972.5
1975,Jabalpur,1337.9
1976,Jabalpur,1063.8
1977,Jabalpur,1783
1978,Jabalpur,1439.6
1979,Jabalpur,671.1
1980,Jabalpur,1492.7
1981,Jabalpur,735.9
1982,Jabalpur,1091.1
1983,Jabalpur,1163.3
1984,Jabalpur,1099.4
1985,Jabalpur,1074.3
1986,Jabalpur,775.9
1987,Jabalpur,1150.6
1988,Jabalpur,1049.8
1989,Jabalpur,813.4
1990,Jabalpur,1475.7
1991,Jabalpur,919.6
1992,Jabalpur,1220.6
1993,Jabalpur,1307.9
1994,Jabalpur,1521.9
1995,Jabalpur,1123.4
1996,Jabalpur,987.4
1997,Jabalpur,1410.4
1998,Jabalpur,941.7
1999,Jabalpur,1501.5
2000,Jabalpur,955.2
2001,Jabalpur,1149.8
2002,Jabalpur,1110.7
2003,Jabalpur,1664.5
2004,Jabalpur,1208.7
2005,Jabalpur,1806.2
2006,Jabalpur,999.1
2007,Jabalpur,1033.4
2008,Jabalpur,1201.1
2009,Jabalpur,1008.1
2012,Jabalpur,1283.7
2013,Jabalpur,2109.7
2014,Jabalpur,968.8
2015,Jabalpur,1043.9
1966,Balaghat,1202.6
1967,Balaghat,1743.3
1968,Balaghat,1381
1969,Balaghat,1300.7
1970,Balaghat,1720.7
1971,Balaghat,1326.7
1972,Balaghat,955.5
1973,Balaghat,1566.3
1974,Balaghat,1210.3
1975,Balaghat,1640.5
1976,Balaghat,1262.3
1977,Balaghat,1515.7
1978,Balaghat,1570.1
1979,Balaghat,1108.9
1980,Balaghat,1087.3
1981,Balaghat,1369.3
1982,Balaghat,1312.3
1983,Balaghat,1294.9
1984,Balaghat,1097.3
1985,Balaghat,1178.4
1986,Balaghat,1437.8
1987,Balaghat,916.9
1988,Balaghat,1462.6
1989,Balaghat,1063.6
1990,Balaghat,2388.6
1991,Balaghat,905.5
1992,Balaghat,1056.3
1993,Balaghat,1439.8
1994,Balaghat,2297.4
1995,Balaghat,1542.8
1996,Balaghat,982.3
1997,Balaghat,1900.8
1998,Balaghat,1770.1
1999,Balaghat,1700.9
2000,Balaghat,1007.1
2001,Balaghat,1702.8
2002,Balaghat,1317.8
2003,Balaghat,1931.9
2004,Balaghat,991.3
2005,Balaghat,1937.9
2006,Balaghat,1549.1
2007,Balaghat,1257.1
2008,Balaghat,1325.4
2009,Balaghat,1010.6
2012,Balaghat,1173.6
2013,Balaghat,1428.8
2014,Balaghat,1076
2015,Balaghat,1004.7
1966,Chhindwara,690.4
1967,Chhindwara,1117.6
1968,Chhindwara,1075.1
1969,Chhindwara,1094.4
1970,Chhindwara,1533
1971,Chhindwara,899.6
1972,Chhindwara,841.2
1973,Chhindwara,1427.1
1974,Chhindwara,966.2
1975,Chhindwara,1131.5
1976,Chhindwara,979.6
1977,Chhindwara,1376.9
1978,Chhindwara,1247.1
1979,Chhindwara,913
1980,Chhindwara,845.9
1981,Chhindwara,1243.4
1982,Chhindwara,1004.4
1983,Chhindwara,1348.6
1984,Chhindwara,1243.4
1985,Chhindwara,997.1
1986,Chhindwara,1183.9
1987,Chhindwara,907.5
1988,Chhindwara,1138.3
1989,Chhindwara,1006.3
1990,Chhindwara,1972.9
1991,Chhindwara,783
1992,Chhindwara,999.5
1993,Chhindwara,1367
1994,Chhindwara,1529.8
1995,Chhindwara,962.4
1996,Chhindwara,849.2
1997,Chhindwara,1549.7
1998,Chhindwara,1056.8
1999,Chhindwara,1439.2
2000,Chhindwara,696.8
2001,Chhindwara,816.9
2002,Chhindwara,930.9
2003,Chhindwara,1150.4
2004,Chhindwara,574.5
2005,Chhindwara,1212
2006,Chhindwara,1093.5
2007,Chhindwara,927.5
2008,Chhindwara,668
2009,Chhindwara,1162.3
2012,Chhindwara,1078.7
2013,Chhindwara,1408
2014,Chhindwara,807
2015,Chhindwara,1133.3
1966,Narsinghpur,741.9
1967,Narsinghpur,1236.6
1968,Narsinghpur,977.6
1969,Narsinghpur,1235.9
1970,Narsinghpur,1719.4
1971,Narsinghpur,1436
1972,Narsinghpur,1234.6
1973,Narsinghpur,1692.5
1974,Narsinghpur,1212.9
1975,Narsinghpur,1630.9
1976,Narsinghpur,1254.5
1977,Narsinghpur,1861.4
1978,Narsinghpur,1395.1
1979,Narsinghpur,865.9
1980,Narsinghpur,1409.5
1981,Narsinghpur,1043.3
1982,Narsinghpur,1324.4
1983,Narsinghpur,1266.7
1984,Narsinghpur,1065.5
1985,Narsinghpur,1124.8
1986,Narsinghpur,1096.4
1987,Narsinghpur,890.6
1988,Narsinghpur,1007.2
1989,Narsinghpur,993.1
1990,Narsinghpur,1266.3
