Year,District,Fertilizer CONSUMPTION (tons)
1966,Durg,1703
1967,Durg,1924
1968,Durg,3544
1969,Durg,5014
1970,Durg,6764
1971,Durg,10690
1972,Durg,12922
1973,Durg,7234
1974,Durg,4128
1975,Durg,5713
1976,Durg,6682
1977,Durg,6352
1978,Durg,8730
1979,Durg,7893
1980,Durg,9023
1981,Durg,11739
1982,Durg,11662
1983,Durg,15270
1984,Durg,19346
1985,Durg,22587
1986,Durg,23510
1987,Durg,28821
1988,Durg,33701
1989,Durg,37557
1990,Durg,34514
1991,Durg,39521
1992,Durg,45621
1993,Durg,38278
1994,Durg,46442
1995,Durg,46442
1996,Durg,46442
1997,Durg,57382
1998,Durg,53895
1999,Durg,57066
2000,Durg,59464
2001,Durg,62007
2002,Durg,56082
2003,Durg,52900
2004,Durg,81022
2005,Durg,87267
2006,Durg,107146
2007,Durg,99347
2008,Durg,103864
2009,Durg,132143
2010,Durg,142156
2011,Durg,135997
2012,Durg,160413
2013,Durg,139098
2014,Durg,163071
2015,Durg,190933
2016,Durg,190937
2017,Durg,161926
1966,Bastar,356
1967,Bastar,234
1968,Bastar,316
1969,Bastar,349
1970,Bastar,492
1971,Bastar,544
1972,Bastar,781
1973,Bastar,1071
1974,Bastar,226
1975,Bastar,327
1976,Bastar,391
1977,Bastar,858
1978,Bastar,751
1979,Bastar,619
1980,Bastar,631
1981,Bastar,730
1982,Bastar,829
1983,Bastar,1778
1984,Bastar,2006
1985,Bastar,2330
1986,Bastar,2759
1987,Bastar,2829
1988,Bastar,3498
1989,Bastar,4500
1990,Bastar,3167
1991,Bastar,4600
1992,Bastar,5552
1993,Bastar,4917
1994,Bastar,5886
1995,Bastar,5886
1996,Bastar,5886
1997,Bastar,10788
1998,Bastar,7182
1999,Bastar,10788
2000,Bastar,10482
2001,Bastar,14043
2002,Bastar,10679
2003,Bastar,10864
2004,Bastar,15739
2005,Bastar,17447
2006,Bastar,20874
2007,Bastar,13695
2008,Bastar,20608
2009,Bastar,29728
2010,Bastar,31771
2011,Bastar,30559
2012,Bastar,39540
2013,Bastar,32241
2014,Bastar,37767
2015,Bastar,38254
2016,Bastar,41783
2017,Bastar,38134
1966,Raipur,3842
1967,Raipur,3727
1968,Raipur,5609
1969,Raipur,9122
1970,Raipur,13204
1971,Raipur,16829
1972,Raipur,12281
1973,Raipur,15769
1974,Raipur,8276
1975,Raipur,9385
1976,Raipur,11167
1977,Raipur,12551
1978,Raipur,17679
1979,Raipur,15113
1980,Raipur,19536
1981,Raipur,21083
1982,Raipur,19337
1983,Raipur,18598
1984,Raipur,31078
1985,Raipur,37246
1986,Raipur,38634
1987,Raipur,42701
1988,Raipur,49190
1989,Raipur,58252
1990,Raipur,52952
1991,Raipur,49284
1992,Raipur,58310
1993,Raipur,68598
1994,Raipur,76671
1995,Raipur,76671
1996,Raipur,76671
